feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
text_length,Text: Length (chars),0.1373490857302564,0.04869843798832721,0.006492822381674199,0.0372333513780865,0.18089803800884655,0.13691317592477026,0.09126415190199352
polarization_score,Content: Polarization Score,0.08962645756228987,0.014164135042388603,0.0072048578691295585,0.04796519894134263,0.023992236021884456,0.1057965885071694,0.04812491232403409
toxicity,Toxicity: Toxicity,0.012863190988545293,0.009388585086978244,0.008413113080333788,0.03854604373340553,0.026117562050797464,0.0072190482766935245,0.017091257202792306
primary_topic,Content: Primary Topic,0.023406066924248577,0.007600963480046941,0.004281346087505366,0.013042185149621782,0.01100617561429206,0.022762038116697053,0.013683129228735295
avg_word_length,Text: Avg Word Length,0.0084810607714042,0.005462696735383066,0.002027879017400757,0.002447500393808042,0.032741278891000085,0.010174289934389808,0.010222450957230992
controversy_level,Content: Controversy Level,0.017173816460353913,0.0027735329242869807,0.0014327778525485048,0.007137444738746426,0.005302262826471441,0.02312905210138262,0.009491481150631649
sentiment_polarity,Sentiment: Polarity,0.013912334704117624,0.002904975152338636,0.0033610278366824242,0.016529094723407283,0.0012266976777088362,0.013399233644776567,0.008555560623171895
severe_toxicity,Toxicity: Severe Toxicity,0.0044734189854482055,0.0027378474399583847,0.008201948984566613,0.028150835509672803,0.004988750493958881,0.002140145014720129,0.008448824404720836
sentiment_subjectivity,Sentiment: Subjectivity,0.0022921864307530408,0.002562956276512378,0.0032928219229852993,0.0033814191195195623,0.01513272593198097,0.002984088917942357,0.004941033099948934
author_political_leaning,Author: Political Leaning,0.00559808852762973,0.004295315927853343,0.0015469561059579986,0.003276625480893242,0.006317666930731321,0.007771962168082737,0.004801102523524729
has_url,Style: Has URL,0.0018820280861994566,0.006215789500105213,0.0003570431777436091,0.0003523299952322207,0.01369087915206246,0.0003828826199394683,0.003813492088547071
author_gender,Author: Gender,0.001766105609240595,0.001558457461689834,0.0009320660322470919,0.0014406385349029877,0.0022340826837975634,0.0019298018844121168,0.0016435253677150317
has_emoji,Style: Has Emoji,0.0012087486317745788,0.0003527083100102505,0.002068660424806294,0.00029891283093557574,0.0021706900130683483,0.0021302244247076935,0.0013716574392171235
author_is_minority,Author: Is Minority,0.002036720124012332,0.0006429384004013848,0.0015698003186060945,0.002229683458446014,0.0008686617282373803,0.0007956469129048522,0.0013572418237680097
has_hashtag,Style: Has Hashtag,0.0007227294642035221,0.0006405952866120963,8.751688153116948e-05,0.0003571498227690143,0.0012903081124657325,0.0005131661416415726,0.0006019109515371845
has_mention,Style: Has Mention,0.0003052826843799447,0.0004828941428299294,0.00020772897237995616,0.00013257235421857566,0.00034102280214721314,0.00041350793319253374,0.0003138348148580255
Mean Across Features,Mean Across Features,0.020193582605303583,0.006905176822232656,0.0032173979341311703,0.012657561635313012,0.02051993993371567,0.021153428282713917,0.014107847868901669
