feature,type
author_gender,categorical
author_ideology,categorical
author_partisanship,categorical
author_race,categorical
author_income,categorical
author_education,categorical
author_marital_status,categorical
author_religiosity,categorical
author_age,numerical
text_length,numerical
avg_word_length,numerical
word_count,numerical
has_url,binary
has_hashtag,binary
has_mention,binary
has_emoji,binary
is_reply,binary
is_retweet,binary
is_quote,binary
sentiment_polarity,numerical
sentiment_subjectivity,numerical
user_followers_count,numerical
user_friends_count,numerical
user_statuses_count,numerical
user_account_age_days,numerical
user_verified,binary
engagement_score,numerical
