tweet_id,user_id,text,persona,selected,pool_position,original_index,author_gender,author_ideology,author_partisanship,author_race,author_income,author_education,author_marital_status,author_religiosity,author_age,user_followers_count,user_friends_count,user_statuses_count,user_verified,text_length,word_count,avg_word_length,has_url,has_hashtag,has_mention,has_emoji,sentiment_polarity,sentiment_subjectivity,is_reply,is_retweet,is_quote,engagement_score,user_account_age_days,prompt_style,trial_id,author_political_leaning,author_is_minority,polarization_score,controversy_level,primary_topic,toxicity,severe_toxicity
1007,504,RT @scientist: Our latest research on biodiversity loss is now published,"female, 52 years old, graduate education, independent, ideology: moderate",0,0,6,female,moderate,independent,white,high,graduate,divorced,not_religious,52,5670,2300,12450,1,72,11,5.636363636363637,0,0,1,0,0.0,0.0,0,,0,5.41164605185504,3912,general,0,moderate,no,0.5,low,general,0.0,0.0
1020,510,Anyone else think pineapple on pizza is actually good?,"male, 55 years old, college education, republican, ideology: conservative",0,1,19,male,conservative,republican,white,high,college,married,very_religious,55,6780,3400,15670,1,54,9,5.111111111111111,0,0,0,0,0.0,0.0,0,,0,6.150602768446279,4133,general,0,conservative,no,0.5,low,general,0.0,0.0
1015,508,The mainstream media is lying to you. Do your own research! #WakeUp,"male, 25 years old, high_school education, independent, ideology: conservative",0,2,14,male,conservative,independent,white,low,high_school,single,not_religious,25,780,340,1560,0,67,12,4.666666666666667,0,1,0,0,0.0,0.0,0,,0,5.680172609017068,2049,general,0,conservative,no,0.5,low,general,0.0,0.0
1011,506,Tax cuts are the solution to economic growth. Simple economics! 💰,"male, 38 years old, high_school education, republican, ideology: very_conservative",0,3,10,male,very_conservative,republican,white,medium,high_school,married,very_religious,38,4560,1890,6780,0,65,11,5.0,0,0,0,1,0.0,0.0,0,,0,4.787491742782046,3595,general,0,very_conservative,no,0.5,low,general,0.0,0.0
1008,504,Beautiful sunset today 🌅,"female, 52 years old, graduate education, independent, ideology: moderate",0,4,7,female,moderate,independent,white,high,graduate,divorced,not_religious,52,5670,2300,12450,1,24,4,5.25,0,0,0,1,0.0,0.0,0,,0,5.634789603169249,3912,general,0,moderate,no,0.5,low,general,0.0,0.0
1007,504,RT @scientist: Our latest research on biodiversity loss is now published,"female, 52 years old, graduate education, independent, ideology: moderate",0,5,6,female,moderate,independent,white,high,graduate,divorced,not_religious,52,5670,2300,12450,1,72,11,5.636363636363637,0,0,1,0,0.0,0.0,0,,0,5.41164605185504,3912,general,0,moderate,no,0.5,low,general,0.0,0.0
1019,510,God bless America! 🇺🇸 So grateful to live in this great country.,"male, 55 years old, college education, republican, ideology: conservative",0,6,18,male,conservative,republican,white,high,college,married,very_religious,55,6780,3400,15670,1,64,12,4.416666666666667,0,0,0,1,0.0,0.0,0,,0,5.71042701737487,4133,general,0,conservative,no,0.5,low,general,0.0,0.0
1011,506,Tax cuts are the solution to economic growth. Simple economics! 💰,"male, 38 years old, high_school education, republican, ideology: very_conservative",1,7,10,male,very_conservative,republican,white,medium,high_school,married,very_religious,38,4560,1890,6780,0,65,11,5.0,0,0,0,1,0.0,0.0,0,,0,4.787491742782046,3595,general,0,very_conservative,no,0.5,low,general,0.0,0.0
1011,506,Tax cuts are the solution to economic growth. Simple economics! 💰,"male, 38 years old, high_school education, republican, ideology: very_conservative",0,8,10,male,very_conservative,republican,white,medium,high_school,married,very_religious,38,4560,1890,6780,0,65,11,5.0,0,0,0,1,0.0,0.0,0,,0,4.787491742782046,3595,general,0,very_conservative,no,0.5,low,general,0.0,0.0
1004,502,@user123 I completely agree with your point about healthcare reform,"male, 45 years old, graduate education, democrat, ideology: very_liberal",0,9,3,male,very_liberal,democrat,asian,high,graduate,married,somewhat_religious,45,3420,1200,8930,1,67,10,5.8,0,0,1,0,0.0,0.0,1,,0,3.044522437723423,3441,general,0,very_liberal,yes,0.5,low,general,0.0,0.0
1003,502,New study shows renewable energy adoption increasing https://example.com/study,"male, 45 years old, graduate education, democrat, ideology: very_liberal",0,0,2,male,very_liberal,democrat,asian,high,graduate,married,somewhat_religious,45,3420,1200,8930,1,78,8,8.875,1,0,0,0,0.0,0.0,0,,0,5.575949103146316,3441,general,1,very_liberal,yes,0.5,low,general,0.0,0.0
1002,501,Coffee tastes better in the morning ☕,"female, 34 years old, college education, democrat, ideology: liberal",0,1,1,female,liberal,democrat,white,medium,college,married,not_religious,34,1250,580,3420,0,37,7,4.428571428571429,0,0,0,0,0.0,0.0,0,,0,4.7535901911063645,2840,general,1,liberal,no,0.5,low,general,0.0,0.0
1012,506,@politician Your policy is absolutely ridiculous and will destroy our country!,"male, 38 years old, high_school education, republican, ideology: very_conservative",1,2,11,male,very_conservative,republican,white,medium,high_school,married,very_religious,38,4560,1890,6780,0,78,11,6.181818181818182,0,0,1,0,0.0,0.0,1,,0,5.308267697401205,3595,general,1,very_conservative,no,0.5,low,general,0.0,0.0
